@RELATION aclImdb-first10

@ATTRIBUTE the NUMERIC
@ATTRIBUTE and NUMERIC
@ATTRIBUTE a NUMERIC
@ATTRIBUTE of NUMERIC
@ATTRIBUTE to NUMERIC
@ATTRIBUTE is NUMERIC
@ATTRIBUTE it NUMERIC
@ATTRIBUTE in NUMERIC
@ATTRIBUTE i NUMERIC
@ATTRIBUTE this NUMERIC
@ATTRIBUTE pos {P,N}

@DATA
21,8,8,10,10,7,14,4,1,2,P
18,7,4,4,5,6,4,3,0,1,P
8,1,3,3,0,3,7,1,4,3,P
13,9,1,3,2,0,3,3,9,2,P
15,12,12,8,4,5,12,6,5,1,P
31,25,17,25,6,13,3,13,6,6,P
11,7,4,2,5,3,1,5,5,1,P
11,4,3,3,2,2,2,0,1,1,P
26,18,17,23,16,7,15,10,19,7,P
29,22,10,9,16,10,15,8,17,7,P
22,13,18,17,16,12,5,8,3,1,P
10,6,3,8,0,2,0,1,0,4,P
9,1,4,4,3,1,3,1,1,2,P
21,9,13,12,7,6,9,2,6,6,P
14,5,2,4,3,1,1,3,8,2,P
3,5,4,3,3,1,0,1,2,3,P
28,13,5,4,5,2,5,7,27,13,P
41,27,25,20,20,18,27,14,21,12,P
23,7,9,7,11,7,5,6,2,3,P
10,7,5,6,7,8,3,3,5,2,P
5,4,3,2,2,8,2,0,1,2,P
1,7,6,1,1,5,10,1,8,4,P
5,8,5,2,3,4,2,1,0,3,P
5,5,9,6,3,7,7,2,1,1,P
7,3,1,0,1,1,2,2,4,1,P
7,3,9,3,4,0,1,2,2,2,P
8,5,5,4,4,0,4,5,8,4,P
17,7,8,6,8,9,4,5,10,5,P
10,8,11,2,4,6,3,5,1,1,P
2,3,0,2,1,3,6,3,3,0,P
10,8,11,2,4,6,3,5,1,1,P
2,3,3,4,3,3,2,0,9,1,P
16,21,14,6,9,4,5,2,5,4,P
6,3,0,4,3,4,1,0,1,5,P
10,5,5,1,5,4,5,5,2,3,P
23,7,5,6,5,7,8,5,6,4,P
6,8,7,6,2,2,3,2,0,3,P
57,26,27,35,13,26,12,24,1,8,P
49,24,20,27,25,14,23,21,4,8,P
32,10,5,19,12,11,3,9,1,5,P
2,3,3,6,4,7,2,4,1,2,P
6,5,5,2,3,5,1,2,0,2,P
27,13,6,13,6,11,9,7,0,2,P
7,2,4,5,3,3,1,2,0,5,P
5,1,6,3,1,3,5,4,1,1,P
9,4,13,6,3,1,0,2,0,2,P
9,4,3,1,1,5,2,1,1,0,P
6,4,4,0,2,5,3,3,3,1,P
23,3,15,3,5,7,5,3,1,4,P
12,11,15,6,2,4,2,5,7,7,P
5,3,6,2,1,3,2,0,0,2,P
20,8,15,13,9,7,8,3,4,3,P
10,4,2,0,3,2,7,3,6,1,P
35,8,11,12,8,6,4,11,3,2,P
13,5,5,6,4,8,4,1,0,1,P
27,10,17,15,8,10,7,10,6,5,P
6,6,6,3,2,4,1,2,0,2,P
13,6,1,6,4,6,1,4,0,2,P
26,6,5,12,13,8,11,12,7,8,P
6,10,11,8,13,11,2,4,0,2,P
25,4,7,10,17,6,3,3,0,0,P
35,16,11,19,25,6,8,8,0,0,P
5,2,5,4,4,2,0,1,0,0,P
20,8,8,8,3,3,2,4,0,3,P
12,2,4,7,4,3,1,2,0,1,P
41,22,14,17,12,13,0,15,1,3,P
10,10,10,8,4,9,5,1,2,5,P
13,4,2,3,8,1,3,4,3,3,P
10,6,8,5,6,0,6,3,6,4,P
11,5,2,3,0,4,0,3,5,8,P
9,2,3,0,1,1,1,0,2,1,P
5,2,2,1,1,2,2,1,1,2,P
7,3,3,3,5,1,2,1,3,3,P
1,3,2,1,1,1,4,1,5,2,P
5,3,3,5,2,1,6,1,5,3,P
7,2,4,3,5,6,5,4,11,3,P
3,6,8,2,5,2,3,2,3,2,P
2,8,4,2,4,4,0,1,0,1,P
7,7,4,2,4,5,1,2,3,4,P
11,8,2,3,3,6,7,1,1,5,P
7,6,4,5,3,4,5,1,0,0,P
6,2,3,2,0,3,1,2,2,1,P
6,3,6,2,3,1,6,2,5,4,P
12,6,3,3,6,1,7,2,3,1,P
10,0,2,1,2,0,1,0,3,1,P
8,4,8,6,2,4,7,0,8,2,P
24,13,17,12,9,5,6,6,6,8,P
6,4,5,4,3,0,5,1,4,2,P
11,4,5,8,2,4,5,3,1,2,P
13,6,3,5,5,1,3,0,4,4,P
7,4,3,2,1,1,5,0,8,1,P
5,4,3,1,1,0,1,2,2,1,P
7,0,2,0,2,3,3,0,2,2,P
1,7,3,2,3,2,8,1,7,1,P
7,7,3,2,7,4,6,2,1,3,P
7,6,6,6,3,2,3,4,0,1,P
2,0,2,1,2,0,2,1,4,2,P
10,1,3,5,2,6,4,1,0,4,P
7,3,2,3,1,2,1,0,1,0,P
6,6,3,1,2,2,0,2,0,2,P
0,1,3,0,1,2,2,1,0,2,P
7,5,1,1,0,0,3,0,3,1,P
16,3,1,4,1,1,2,2,1,0,P
4,2,7,5,5,5,3,0,8,7,P
14,7,4,2,5,4,3,4,0,3,P
8,8,5,5,6,1,5,2,7,1,P
25,10,8,14,11,4,6,10,1,0,P
51,20,21,12,14,10,13,10,6,4,P
17,13,4,11,3,5,2,3,2,1,P
17,6,14,7,7,7,4,4,3,4,P
18,9,11,5,2,6,6,4,10,6,P
10,7,4,7,2,1,6,4,6,2,P
5,3,8,3,3,2,1,1,1,1,P
12,4,4,8,2,3,5,1,7,4,P
6,4,1,0,2,5,4,4,5,5,P
12,2,6,7,6,8,4,1,2,6,P
17,11,8,10,3,6,3,4,8,4,P
10,5,6,7,2,3,7,3,0,3,P
15,6,9,8,8,6,0,6,0,5,P
19,11,10,12,6,10,2,3,0,3,P
20,4,5,5,3,3,4,4,0,3,P
10,5,6,1,3,7,3,3,1,1,P
24,9,6,12,7,4,4,6,1,2,P
5,3,9,7,3,1,3,2,2,5,P
30,16,11,9,9,12,4,4,0,1,P
3,6,8,3,4,1,3,2,2,1,P
7,5,7,6,6,4,1,4,2,2,P
12,8,4,7,11,4,6,4,3,4,P
5,1,1,3,1,2,3,1,3,2,P
3,1,2,0,0,2,0,0,0,0,P
9,7,5,4,3,1,6,1,4,3,P
13,14,8,9,0,3,4,5,13,3,P
3,5,3,3,1,5,4,2,0,5,P
19,23,10,10,7,16,9,7,9,6,P
17,20,6,13,7,5,0,4,0,1,P
3,2,3,2,1,2,3,0,1,1,P
12,5,9,9,1,4,2,4,1,1,P
16,8,8,10,3,6,4,4,6,5,P
21,10,8,10,13,8,9,10,2,8,P
15,5,3,4,4,4,1,3,1,1,P
2,3,5,4,4,1,3,2,7,0,P
7,4,8,7,5,3,4,1,4,4,P
4,11,5,1,1,2,2,2,2,1,P
15,2,4,2,3,1,0,4,0,0,P
9,3,4,1,3,2,3,5,4,4,P
9,0,3,1,0,4,1,0,3,0,P
6,3,3,5,2,3,5,2,7,6,P
3,3,2,1,3,0,4,2,5,5,P
13,3,3,5,5,6,3,2,1,0,P
41,6,7,9,8,2,2,9,3,0,P
8,3,6,5,5,4,2,1,0,3,P
14,5,6,8,4,5,0,5,2,1,P
8,5,10,8,2,2,5,1,1,2,P
15,6,7,5,2,2,1,3,0,3,P
9,4,3,2,2,1,5,1,12,0,P
12,8,6,1,2,0,3,3,10,0,P
3,4,3,3,1,4,4,3,0,1,P
8,4,2,3,2,2,3,1,3,1,P
4,1,5,0,1,6,8,0,12,0,P
18,9,7,5,8,8,8,8,13,11,P
17,5,3,8,3,1,3,4,6,1,P
37,26,13,14,21,6,10,13,10,8,P
5,1,1,3,5,2,3,1,6,3,P
21,7,8,10,8,8,2,7,1,1,P
3,0,2,0,0,1,2,1,2,1,P
8,2,2,1,3,0,1,0,0,0,P
2,4,10,4,2,4,0,4,0,2,P
5,7,1,1,1,10,5,7,2,5,P
2,3,0,0,1,0,3,0,3,1,P
7,2,4,5,3,4,3,2,3,3,P
15,3,15,6,12,5,3,2,3,1,P
1,3,3,2,1,0,1,0,2,2,P
13,5,10,3,2,2,0,3,2,1,P
15,9,8,13,1,7,1,5,4,5,P
11,1,2,6,1,4,1,3,2,2,P
10,3,6,2,5,2,7,3,11,4,P
0,3,3,1,0,1,0,0,1,1,P
5,8,8,3,6,7,7,1,5,4,P
8,7,5,1,1,6,2,6,4,3,P
11,8,4,7,7,1,2,4,8,3,P
9,3,4,3,2,2,1,1,3,0,P
17,12,7,5,4,10,4,3,0,0,P
9,2,2,0,3,0,3,2,4,4,P
6,4,4,1,3,7,1,3,0,2,P
6,3,4,7,3,0,0,4,7,4,P
9,6,6,4,3,1,1,3,9,2,P
21,9,5,7,1,4,3,4,8,2,P
12,8,6,0,0,1,0,2,2,0,P
33,12,7,11,8,3,1,5,4,2,P
19,7,8,10,8,4,7,5,0,0,P
9,2,4,1,2,1,2,2,3,3,P
21,12,5,5,3,11,3,2,0,2,P
8,4,0,5,2,3,1,0,3,3,P
20,11,7,6,2,6,2,3,4,3,P
54,11,12,20,18,3,3,8,4,3,P
19,9,5,10,10,4,2,4,3,1,P
70,38,19,18,28,16,7,16,9,2,P
35,27,12,13,38,17,3,9,0,2,P
4,3,4,6,3,3,9,1,3,3,P
56,13,14,29,11,15,7,12,1,6,P
12,6,9,4,4,3,8,0,11,3,P
80,20,26,29,33,15,22,24,28,7,P
19,10,6,5,5,3,3,0,0,0,P
42,5,8,13,15,7,7,10,1,1,P
73,28,20,29,16,14,15,16,2,11,P
57,14,15,22,13,12,9,5,1,8,P
12,12,13,5,4,12,7,5,2,1,P
18,4,2,5,3,0,1,3,1,5,P
36,11,12,13,13,13,5,13,4,4,P
16,11,14,14,9,0,8,7,13,4,P
15,4,7,6,6,6,8,4,8,1,P
85,27,18,29,26,26,3,19,2,6,P
26,4,7,10,2,0,2,7,3,9,P
4,0,6,0,2,3,1,2,3,2,P
8,5,7,3,1,5,1,4,2,2,P
6,5,10,5,5,1,8,2,9,2,P
7,5,6,4,11,4,2,3,2,3,P
10,3,1,7,5,5,3,3,10,7,P
11,9,11,4,7,6,3,2,0,1,P
7,5,4,2,1,8,0,2,2,2,P
3,3,13,4,3,3,1,4,3,3,P
28,14,16,7,6,8,2,8,0,4,P
6,5,6,5,2,0,0,4,0,0,P
4,5,13,1,1,6,2,1,1,5,P
7,5,8,4,1,2,1,4,3,2,P
6,2,4,0,3,2,2,3,5,4,P
12,8,6,3,4,3,2,1,0,0,P
8,0,1,4,2,3,4,3,5,4,P
4,2,8,1,3,7,1,2,0,1,P
30,13,14,12,9,19,13,5,5,1,P
5,3,3,8,1,1,3,7,10,5,P
28,16,29,12,14,20,12,14,0,2,P
23,7,11,7,8,5,4,9,0,2,P
21,27,20,8,11,16,13,10,4,3,P
2,4,8,2,3,2,0,2,0,1,P
13,17,9,8,4,1,5,12,3,3,P
9,2,6,3,0,6,4,3,4,4,P
7,7,8,3,10,5,1,5,1,2,P
23,24,13,9,16,14,6,8,2,6,P
4,5,1,3,4,4,1,3,2,4,P
11,3,5,5,1,4,0,0,0,0,P
9,11,9,3,6,9,1,2,0,5,P
14,3,7,6,12,5,5,5,0,3,P
9,3,3,2,3,1,3,1,3,0,P
8,0,5,2,4,5,5,4,0,0,P
12,4,7,3,6,5,4,5,1,0,P
9,5,4,6,7,9,0,0,0,2,P
13,7,6,8,6,2,3,4,1,2,P
3,2,3,2,1,0,0,2,0,0,P
5,4,6,3,5,9,4,3,1,2,P
22,13,17,16,12,7,3,12,0,3,P
6,2,6,2,6,2,2,5,0,1,P
6,1,2,3,1,5,2,2,0,2,P
6,1,2,0,7,3,1,0,0,0,P
15,11,8,7,6,6,1,7,0,1,P
22,16,15,16,7,11,0,7,0,2,P
20,7,20,11,22,8,6,7,0,2,P
8,10,6,4,1,2,3,3,3,1,P
4,5,5,1,1,1,1,1,3,2,P
12,7,6,1,4,5,2,3,2,4,P
5,6,8,6,2,4,1,5,0,3,P
1,2,3,0,2,4,2,2,0,2,P
10,4,5,2,12,1,1,4,1,1,P
39,19,17,13,25,26,11,10,9,16,P
16,8,6,6,7,6,1,1,6,4,P
3,2,4,2,2,0,0,2,0,1,P
4,4,2,4,1,0,6,0,3,2,P
10,14,20,4,12,5,8,4,3,0,P
7,14,6,6,8,4,2,4,0,1,P
25,11,21,14,20,18,9,9,15,10,P
20,9,6,11,13,3,3,7,3,6,P
36,18,30,23,18,9,6,11,0,5,P
16,5,6,7,2,5,3,2,4,5,P
5,4,3,1,0,4,3,1,0,3,P
10,7,3,3,1,4,0,2,0,2,P
2,1,1,1,3,1,1,0,1,3,P
5,6,4,5,2,1,2,4,0,2,P
69,50,9,19,20,17,5,19,10,6,P
14,12,12,6,3,6,0,5,0,2,P
11,2,0,2,2,7,0,7,1,12,P
33,26,22,15,23,14,11,13,33,16,P
7,10,2,3,4,3,1,6,5,1,P
12,4,3,5,5,1,0,1,1,2,P
45,11,5,15,10,5,6,8,6,4,P
8,5,4,4,3,7,2,2,1,8,P
7,3,5,4,2,8,3,0,1,0,P
4,5,4,2,1,3,4,2,2,3,P
22,12,8,5,7,10,1,4,7,3,P
8,2,7,3,3,7,1,1,0,1,P
41,42,16,4,21,27,21,19,19,18,P
17,18,8,8,9,12,4,9,6,6,P
7,2,5,3,2,4,2,2,0,2,P
5,3,8,6,9,7,4,1,5,6,P
7,5,7,5,4,6,2,2,2,3,P
14,4,4,6,6,7,6,2,0,1,P
20,15,13,10,11,2,7,10,4,3,P
19,10,8,9,8,6,6,6,10,7,P
32,21,10,19,12,16,7,3,0,8,P
11,3,9,7,4,5,0,3,0,0,P
6,4,5,2,3,4,2,4,2,2,P
47,14,20,26,20,10,4,13,13,8,P
6,10,5,4,2,5,6,7,4,5,P
9,4,11,6,7,4,1,4,0,3,P
9,4,7,7,2,1,1,3,6,1,P
4,3,4,0,2,2,0,2,0,1,P
63,20,22,27,19,5,5,20,0,6,P
17,11,7,9,4,5,7,6,4,3,P
6,3,1,3,3,4,10,0,7,0,P
5,3,5,8,0,7,4,2,0,0,P
17,10,13,8,8,5,3,8,10,9,P
9,2,1,1,0,1,2,2,2,1,P
15,5,4,4,0,3,2,1,4,3,P
17,4,8,8,11,3,7,5,3,2,P
25,8,3,8,3,2,3,3,0,3,P
12,9,5,5,2,5,1,4,5,3,P
17,4,10,5,4,7,1,3,1,4,P
10,5,8,9,4,2,6,8,2,5,P
19,5,2,5,3,10,7,3,19,10,P
28,14,12,11,5,8,4,6,4,5,P
6,0,3,3,2,0,0,1,0,1,P
40,20,8,25,9,17,11,7,5,7,P
9,7,9,3,8,7,4,6,6,8,P
10,4,6,2,1,5,4,3,1,1,P
18,7,6,13,6,16,4,3,5,2,P
12,6,5,7,1,3,3,2,6,5,P
11,9,5,7,5,3,6,0,4,3,P
5,2,0,3,0,4,1,2,1,2,P
5,2,1,1,0,3,0,2,1,1,P
38,25,24,26,15,21,11,17,4,15,P
33,28,10,11,15,17,12,12,8,14,P
16,12,15,15,10,7,3,9,1,5,P
11,3,3,6,6,4,2,1,2,2,P
14,3,4,8,4,3,0,3,3,2,P
4,4,4,3,2,1,0,0,0,2,P
10,3,2,4,3,5,2,0,1,2,P
8,5,5,4,4,5,6,3,7,4,P
23,4,7,12,4,8,0,6,0,7,P
14,4,7,6,8,0,0,6,0,0,P
34,21,15,19,18,9,11,8,2,7,P
4,0,4,4,0,1,0,1,0,2,P
11,5,2,3,4,2,0,1,0,4,P
2,0,0,0,1,1,2,0,1,0,P
6,2,5,2,1,3,0,1,2,2,P
16,6,11,8,8,5,6,7,2,3,P
9,3,7,2,3,6,2,1,2,2,P
17,18,24,7,11,4,7,10,7,7,P
13,16,16,2,6,3,5,0,5,4,P
9,11,5,6,7,5,6,1,14,4,P
16,8,16,12,5,5,4,5,0,3,P
24,1,11,13,4,7,4,3,0,1,P
14,2,7,6,0,6,3,2,1,6,P
63,43,25,26,24,10,9,20,3,6,P
56,26,31,32,26,18,7,13,3,10,P
16,12,9,10,3,3,6,6,3,3,P
13,7,13,4,8,12,17,2,4,10,P
27,14,12,11,15,11,6,6,4,8,P
11,10,7,10,2,3,1,1,0,2,P
11,10,7,10,2,3,1,1,0,2,P
16,8,19,10,12,3,14,3,6,2,P
57,20,38,35,18,21,8,13,2,6,P
8,2,8,5,4,2,1,2,3,1,P
50,21,30,23,16,15,7,5,12,11,P
24,7,12,17,13,8,8,5,3,0,P
11,4,4,6,3,6,0,1,0,0,P
19,7,7,10,7,2,2,6,4,5,P
2,1,2,0,2,0,0,0,0,0,P
8,2,2,3,3,4,5,2,1,1,P
4,2,3,2,2,1,2,4,1,1,P
6,7,6,2,1,1,6,0,5,5,P
9,4,2,4,2,4,1,1,3,3,P
5,9,3,4,3,1,1,4,0,1,P
4,3,2,0,0,1,0,0,4,1,P
3,1,2,3,3,1,3,3,1,1,P
5,5,5,2,2,0,2,1,2,3,P
6,1,7,4,5,3,1,1,1,1,P
18,11,12,7,8,3,11,3,5,5,P
4,4,1,1,3,3,3,1,6,1,P
11,4,5,1,1,1,1,3,1,5,P
5,1,6,1,0,3,2,7,3,2,P
4,4,2,2,0,2,1,0,1,2,P
4,4,2,2,0,2,1,0,1,2,P
5,4,8,1,6,2,4,2,3,0,P
4,1,5,1,5,5,12,5,0,5,P
21,7,14,5,5,14,1,5,6,6,P
7,1,2,3,0,2,1,2,3,0,P
13,4,2,1,4,6,2,3,1,0,P
13,1,8,6,1,4,1,1,1,0,P
7,4,5,2,5,0,4,2,0,1,P
48,21,27,17,20,8,12,8,0,2,P
5,4,4,4,2,1,4,1,1,1,P
29,8,11,14,12,4,5,7,3,5,P
5,4,6,5,7,1,5,1,2,1,P
8,10,4,6,4,4,3,3,2,4,P
5,10,3,2,4,3,3,1,6,1,P
10,7,6,7,3,3,6,2,11,5,P
7,5,2,1,6,3,3,1,5,2,P
21,8,8,6,6,6,1,5,1,3,P
32,16,7,8,3,1,0,8,0,1,P
23,16,10,8,17,8,2,6,0,2,P
8,1,6,1,3,3,1,4,4,1,P
8,2,4,3,5,0,2,3,6,2,P
10,7,3,2,1,1,5,0,4,0,P
3,1,3,1,0,1,0,0,0,1,P
88,36,12,25,15,1,7,28,3,1,P
61,20,20,28,15,9,15,4,6,4,P
9,9,4,3,6,2,5,2,2,1,P
7,4,3,2,3,8,6,2,9,4,P
11,7,5,5,9,0,4,1,8,3,P
46,13,18,13,19,7,3,9,8,3,P
29,11,8,9,7,5,0,3,0,0,P
52,9,10,12,14,10,5,14,2,3,P
31,2,8,6,6,2,9,1,8,4,P
16,5,5,5,8,2,3,5,11,3,P
13,3,5,6,3,0,3,3,2,0,P
15,12,8,6,5,4,4,5,3,7,P
31,19,16,14,15,4,4,8,0,3,P
7,6,8,4,3,4,0,7,1,4,P
16,9,9,12,18,7,6,7,1,2,P
25,13,8,4,8,4,7,4,1,3,P
7,7,3,1,5,3,2,2,2,1,P
5,2,0,4,1,1,0,1,1,1,P
43,24,20,16,18,1,5,13,1,4,P
11,2,1,5,2,1,3,5,8,2,P
18,13,11,8,5,9,6,11,8,6,P
5,2,5,4,3,0,0,0,0,1,P
43,17,18,11,12,8,5,13,0,4,P
18,13,10,9,7,8,2,7,1,2,P
16,9,0,4,6,1,2,2,13,1,P
43,19,6,16,6,8,11,15,2,4,P
35,3,15,12,8,8,3,15,0,1,P
4,5,4,2,4,2,3,3,1,1,P
19,6,4,2,4,4,4,4,12,5,P
12,5,4,7,6,4,2,5,1,4,P
7,3,6,2,5,0,1,6,0,2,P
13,4,6,6,1,1,0,4,1,4,P
13,6,8,6,1,2,3,7,0,3,P
27,9,8,20,6,6,2,9,1,5,P
16,2,4,7,3,5,2,8,0,3,P
9,4,4,2,2,3,3,3,1,1,P
3,1,0,1,2,5,4,1,1,0,P
5,6,2,1,1,2,3,0,4,2,P
4,2,1,1,3,1,1,0,3,1,P
3,1,1,1,0,3,0,1,2,1,P
3,2,6,0,2,2,5,1,1,1,P
11,7,5,5,1,2,3,2,1,0,P
8,3,1,1,2,2,0,2,4,2,P
4,2,2,1,0,2,3,1,1,1,P
2,2,3,2,0,3,0,1,1,1,P
1,2,2,0,1,1,2,0,5,0,P
4,4,4,3,2,5,4,1,0,1,P
1,1,2,3,2,2,2,0,2,1,P
39,12,21,18,9,13,14,13,2,5,P
11,4,10,6,7,2,3,2,4,1,P
6,4,3,4,1,3,7,1,7,1,P
1,3,0,0,1,4,1,1,0,1,P
11,4,5,3,3,0,4,2,1,0,P
5,3,8,3,4,0,2,2,5,1,P
18,9,5,6,8,2,9,5,0,2,P
2,2,0,1,2,1,6,1,1,0,P
3,0,2,1,0,0,1,0,3,0,P
34,5,12,13,10,1,4,6,2,2,P
9,5,5,3,1,2,3,3,5,4,P
35,18,17,21,9,7,3,6,0,4,P
7,2,1,3,1,1,0,2,0,0,P
14,8,4,5,7,3,3,2,1,1,P
3,0,7,3,2,1,0,2,0,0,P
12,5,3,4,2,3,2,1,1,1,P
10,2,4,5,2,1,0,1,0,2,P
4,4,11,5,4,5,0,2,0,0,P
4,4,5,3,2,1,1,1,0,2,P
10,6,6,2,0,4,6,2,0,2,P
16,5,9,12,2,9,6,4,2,3,P
7,3,6,6,4,1,1,0,0,0,P
5,5,5,5,3,1,4,3,2,5,P
28,13,6,11,8,3,3,5,1,2,P
3,3,0,0,1,1,2,3,6,1,P
31,11,14,13,9,8,3,18,1,3,P
6,4,0,0,0,2,1,0,1,1,P
4,5,5,2,2,3,0,1,2,1,P
3,1,0,1,1,2,0,0,0,1,P
4,5,5,5,0,2,5,3,1,3,P
7,4,6,4,5,2,0,3,1,1,P
12,8,12,6,4,2,3,12,0,2,P
54,24,25,22,10,7,6,19,0,4,P
21,11,15,12,6,6,2,8,2,3,P
11,8,12,10,5,3,1,0,3,2,P
14,12,8,9,3,3,0,10,0,1,P
8,9,3,4,3,7,1,2,0,5,P
14,16,12,7,9,2,3,3,0,1,P
24,8,6,9,10,12,2,4,0,3,P
6,4,8,4,1,5,2,2,0,4,P
13,9,4,9,6,2,0,4,0,1,P
9,3,6,5,2,1,2,2,4,2,P
9,3,2,9,5,5,7,2,3,4,P
10,3,4,5,3,1,0,0,5,2,P
6,5,7,8,3,5,8,3,3,2,P
36,12,20,19,12,10,2,6,0,7,P
5,9,9,4,4,2,3,5,0,1,P
12,7,8,7,8,1,4,6,4,1,P
4,0,6,2,5,2,4,3,2,4,P
0,0,0,0,0,0,1,0,0,0,P
18,17,8,13,14,10,8,8,13,7,P
3,7,2,4,2,1,1,2,0,2,P
41,33,22,27,28,9,10,26,1,5,P
27,12,15,11,6,5,6,9,2,8,P
12,4,4,2,0,4,3,1,0,0,P
15,5,4,3,1,6,1,4,0,0,P
28,9,5,6,12,4,4,6,3,4,P
9,4,4,6,2,1,2,3,3,3,P
18,2,5,4,5,6,2,4,0,0,P
7,7,3,0,4,2,4,2,8,3,P
17,14,4,5,8,3,2,5,1,1,P
2,0,4,5,0,2,0,4,1,3,P
93,36,20,45,24,17,6,20,0,2,P
6,3,4,1,3,6,1,2,0,2,P
4,6,3,1,1,3,4,1,4,4,P
7,4,4,1,2,4,0,1,4,2,P
6,7,3,3,2,4,1,5,6,3,P
5,2,5,0,4,1,4,4,1,2,P
11,1,5,8,2,1,4,4,2,2,P
11,7,2,4,6,4,4,3,3,8,P
8,5,10,6,10,7,4,5,4,1,P
3,5,2,5,3,2,2,2,4,3,P
10,9,9,4,8,11,3,4,1,3,P
5,5,3,2,4,2,2,2,5,4,P
9,8,6,4,3,6,3,6,2,2,P
5,2,0,3,5,3,6,5,7,5,P
11,9,7,3,6,0,14,3,8,1,P
20,18,12,10,7,7,9,6,9,3,P
19,17,10,10,13,5,0,4,2,4,P
4,2,1,2,1,4,2,1,0,4,P
3,3,2,1,1,0,2,1,1,1,P
5,4,3,1,1,3,2,0,2,2,P
10,5,5,2,2,7,4,1,0,2,P
46,23,15,21,30,13,5,11,3,5,P
21,8,6,15,2,9,7,3,0,2,P
8,6,2,4,4,5,0,0,0,3,P
32,13,17,14,13,9,8,11,8,6,P
9,2,5,4,0,6,1,2,3,1,P
3,2,2,2,0,0,6,2,3,1,P
4,7,3,4,3,0,7,1,5,3,P
5,3,1,5,0,4,1,0,0,3,P
18,15,16,14,12,10,4,10,0,4,P
2,1,2,0,1,3,2,0,2,4,P
7,3,2,2,0,3,2,2,2,1,P
9,11,5,3,5,3,5,2,0,1,P
1,2,2,0,0,1,1,0,2,0,P
13,2,3,6,5,1,1,4,1,4,P
5,3,1,3,1,3,3,1,2,2,P
14,11,7,9,2,4,4,5,2,6,P
10,12,7,3,4,0,0,1,0,1,P
28,11,15,14,8,5,2,7,0,3,P
21,3,9,5,4,8,4,6,1,2,P
11,11,3,5,2,0,4,5,1,0,P
14,4,5,8,4,2,1,1,0,2,P
4,0,3,3,3,0,1,2,4,3,P
24,10,10,11,9,7,10,4,0,4,P
49,7,13,21,19,5,1,9,1,4,P
5,1,5,4,2,3,2,0,0,3,P
198,98,72,24,85,3,10,27,1,4,P
5,2,1,0,0,2,1,1,3,0,P
27,24,21,11,11,6,12,6,5,16,P
14,8,9,4,4,1,2,6,1,2,P
39,21,18,26,6,16,5,5,0,3,P
2,0,0,1,1,1,1,0,2,0,P
5,9,4,4,4,1,1,1,0,1,P
1,4,2,3,1,1,0,0,1,0,P
7,2,5,5,6,4,0,3,0,1,P
43,11,7,11,14,15,4,5,0,3,P
12,3,2,2,1,4,1,3,0,0,P
12,4,6,6,4,8,3,3,0,2,P
23,7,5,5,4,5,1,7,0,1,P
8,1,0,2,0,0,1,0,3,1,P
29,8,10,12,9,7,3,8,3,1,P
42,12,18,26,13,6,4,16,1,7,P
11,1,3,3,1,6,0,4,1,1,P
27,11,13,13,8,5,7,7,1,1,P
13,4,2,7,2,3,5,3,2,1,P
9,9,6,6,4,4,3,3,0,1,P
6,4,4,5,1,4,0,2,5,8,P
13,1,3,1,1,0,0,4,2,3,P
10,6,3,3,1,2,0,4,1,2,P
25,16,13,10,5,4,9,5,9,8,P
23,11,12,9,8,13,3,6,0,2,P
23,7,5,5,4,6,2,2,0,4,P
24,8,7,10,10,3,1,4,0,0,P
8,3,5,4,9,5,2,2,2,1,P
8,9,5,5,7,3,0,4,0,1,P
8,1,2,6,4,1,0,2,0,2,P
5,9,7,1,8,3,6,0,3,1,P
6,0,2,1,0,2,1,1,1,2,P
5,4,1,2,2,2,3,2,6,3,P
4,3,3,0,3,2,4,1,5,2,P
6,1,1,1,4,1,4,3,5,4,P
3,3,1,0,0,2,3,1,5,2,P
6,8,0,1,4,1,2,3,5,3,P
12,7,6,3,0,5,3,2,3,0,P
14,9,10,6,9,2,16,5,13,5,P
18,0,3,1,21,3,3,4,3,2,P
21,3,3,6,1,1,3,1,6,4,P
18,7,5,1,10,14,12,4,17,10,P
10,4,3,2,1,2,3,0,5,3,P
10,9,10,3,3,2,2,0,1,3,P
5,3,3,0,4,3,3,0,0,1,P
11,3,2,1,2,4,1,0,3,1,P
19,8,10,7,6,3,10,7,13,6,P
16,6,6,5,5,2,5,1,5,1,P
7,6,4,1,4,1,10,0,9,1,P
1,2,2,1,0,2,1,0,2,1,P
2,3,5,4,3,1,5,4,7,4,P
3,6,0,2,2,2,6,4,4,4,P
7,5,2,3,4,0,3,1,2,3,P
15,3,2,6,3,2,1,2,1,2,P
6,3,3,2,2,2,3,0,3,2,P
10,3,2,2,5,5,4,4,3,4,P
3,3,1,1,0,0,2,2,2,1,P
12,3,6,7,3,4,1,1,3,0,P
7,1,3,4,2,2,0,0,0,0,P
4,4,7,4,4,1,4,2,4,5,P
5,3,3,3,4,4,1,2,0,5,P
10,2,3,3,1,3,1,2,0,1,P
3,2,3,2,0,0,3,0,3,2,P
1,1,2,1,0,3,1,1,0,3,P
9,0,5,4,5,3,5,2,4,1,P
23,12,8,5,6,3,4,7,4,3,P
18,11,10,11,7,12,1,4,0,4,P
